id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
08-Aug-2021_EXS13CS,arrival,7.75,13,13,08,2992.2326900664493,556.0115032957037,0,2582.963506137576,112.840287221,796.0465784219341,2083.3458244235153,23R/05L,1,0,8,0,0,2,3,0,0,3,2
15-Aug-2021_EXS13CS,arrival,7.0,12,12,15,2578.68414382223,625.3787190437367,0,2373.385221231646,68.0426694591,1019.764459621634,1490.8770147414957,23R/05L,1,0,8,0,0,2,2,0,0,2,5
22-Aug-2021_EXS13CS,arrival,6.083333333333333,13,13,22,2312.1940969272882,438.5355066136382,0,2205.727977770263,68.0426694591,1019.764459621634,1224.386967846554,,-1,0,7,0,0,1,0,0,0,2,2
29-Aug-2021_EXS13CS,arrival,6.533333333333333,12,12,29,2922.669578670503,652.3733419758149,0,2715.5915002357347,68.8858870922,1628.469920495521,1225.3137710827823,23R/05L,1,0,7,0,0,1,1,0,0,3,2
08-Aug-2021_HFM710,departure,17.65,13,14,08,2440.0715883743937,671.4094285263857,0,2073.227103424382,120.216071857,974.8760264943767,1344.9794900230172,23R/05L,1,0,9,5,4,0,0,4,1,0,0
18-Aug-2021_HFM710,arrival,4.633333333333334,14,14,18,605.672461375469,214.6783633641815,0,368.35880705263503,0,0,605.672461375469,23R/05L23R/05L,-1,0,6,0,0,0,0,0,0,1,2
29-Aug-2021_HFM710,departure,19.55,20,20,29,3376.421658182383,592.7335427630785,0,3278.297408946122,110.712389807,1014.0460966443912,2251.663171730992,23R/05L,1,0,3,0,3,0,0,0,2,0,0
08-Aug-2021_BZE07B,arrival,1.15,14,14,08,653.5672805453642,183.3432998362418,0,101.25371224509999,0,0,653.5672805453642,23R/05L,1,0,7,0,0,0,0,0,0,5,2
09-Aug-2021_BZE07B,departure,7.6,09,09,09,1783.8936469609537,312.3085688322256,0,1442.1724586837342,0,793.0457372249411,990.8479097360125,23R/05L,1,0,6,1,2,0,0,2,3,0,0
08-Aug-2021_TOM8KC,arrival,0.6666666666666666,14,14,08,494.10710097325557,282.3368614439388,0,101.25371224509999,0,0,494.10710097325557,23R/05L,1,0,5,0,0,1,0,0,0,4,1
08-Aug-2021_EXS362,departure,15.366666666666667,14,15,08,3149.5041079811363,566.2049115051246,0,2913.407542691665,112.840287221,1743.1865729575538,1293.4772478025825,,-1,0,5,2,3,0,0,2,3,0,0
